filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,mfcc14_var,mfcc15_var,mfcc16_var,mfcc17_var,mfcc18_var,mfcc19_var,mfcc20_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,label
Swing.00004.wav,655740,0.38641813,0.081254065,0.124936394,0.0020196964,2586.376895357113,309311.29572119593,1871.0687096630434,17411.87347778539,3182.60546875,1152.4718017578125,151.55613708496094,63.75633239746094,56.292118072509766,44.18536376953125,41.288368225097656,28.085912704467773,36.680545806884766,45.812416076660156,50.66179275512695,47.18513107299805,30.509666442871094,35.12360382080078,60.96202850341797,38.97533416748047,38.01546859741211,44.922359466552734,45.35398483276367,60.30809783935547,86.82176971435547,-39.18881607055664,64.74858856201172,-26.183059692382812,12.337254524230957,-6.49203634262085,-9.553383827209473,-8.915782928466797,9.736626625061035,-1.0084789991378784,-5.788757801055908,-5.739543914794922,2.0710055828094482,-8.171035766601562,-4.675872802734375,-6.66077995300293,-4.7757415771484375,-6.474585056304932,-6.049822807312012,Swing
Swing.00005.wav,661248,0.31473586,0.085373424,0.1334237,0.0016172491,1585.4978988105645,247923.55296463013,1436.4962200638447,53443.62808192105,3305.45849609375,1006.3071899414062,456.16168212890625,157.22430419921875,199.5111541748047,69.90885162353516,62.78886795043945,62.55540084838867,69.52182006835938,75.185791015625,62.347572326660156,87.68603515625,79.83268737792969,71.52129364013672,91.25588989257812,78.41791534423828,87.7054443359375,95.34090423583984,65.59707641601562,117.87493896484375,157.03543090820312,-56.869728088378906,54.729488372802734,-20.833343505859375,1.733102560043335,3.710683584213257,-20.42821502685547,4.707198143005371,-9.111601829528809,-8.102850914001465,3.415095806121826,-14.640996932983398,-2.556344747543335,-11.741446495056152,-5.428741931915283,0.9127784967422485,-1.317500352859497,3.1900782585144043,-2.257127285003662,Swing
Swing_counter.txt,661248,0.31473586,0.085373424,0.1334237,0.0016172491,1585.4978988105645,247923.55296463013,1436.4962200638447,53443.62808192105,3305.45849609375,1006.3071899414062,456.16168212890625,157.22430419921875,199.5111541748047,69.90885162353516,62.78886795043945,62.55540084838867,69.52182006835938,75.185791015625,62.347572326660156,87.68603515625,79.83268737792969,71.52129364013672,91.25588989257812,78.41791534423828,87.7054443359375,95.34090423583984,65.59707641601562,117.87493896484375,157.03543090820312,-56.869728088378906,54.729488372802734,-20.833343505859375,1.733102560043335,3.710683584213257,-20.42821502685547,4.707198143005371,-9.111601829528809,-8.102850914001465,3.415095806121826,-14.640996932983398,-2.556344747543335,-11.741446495056152,-5.428741931915283,0.9127784967422485,-1.317500352859497,3.1900782585144043,-2.257127285003662,Swing
Synth-pop.00001.wav,661248,0.3338402,0.078973606,0.16646942,0.003491886,2849.496063222098,208080.28732160895,2710.7309065053532,53129.824058336315,1030.364013671875,291.3973388671875,203.91055297851562,124.66226959228516,54.93037033081055,77.51045227050781,60.105770111083984,53.35116195678711,49.79214096069336,67.44493103027344,65.23197174072266,60.351768493652344,90.25149536132812,47.62902069091797,44.12750244140625,40.70243835449219,65.84105682373047,41.374515533447266,64.50293731689453,41.894771575927734,72.55228424072266,-1.974525809288025,21.525728225708008,-1.7071348428726196,14.470627784729004,-4.296746730804443,4.039520740509033,-9.181819915771484,2.2519989013671875,-3.584929943084717,2.086620330810547,-2.064868927001953,-0.006418552715331316,-5.245508193969727,-0.5144200921058655,-8.208599090576172,-5.237795829772949,-8.257076263427734,2.527297258377075,Synth-pop
Synth-pop.00002.wav,661248,0.3735111,0.0815779,0.17404912,0.0023600669,2686.2729086775753,442185.63477208023,2604.523722039331,136141.25909545217,1281.5006103515625,335.9755554199219,333.6099548339844,255.75611877441406,138.51290893554688,112.49615478515625,78.50121307373047,61.913734436035156,64.50555419921875,84.51155090332031,61.04811477661133,61.69269561767578,50.044273376464844,39.74873733520508,39.312461853027344,37.0174446105957,34.10614013671875,44.97760009765625,38.80776596069336,47.323692321777344,77.05809783935547,-4.124783992767334,31.755950927734375,4.495265007019043,3.580474853515625,0.48694342374801636,5.835789680480957,-5.50971794128418,3.65981388092041,-1.797878384590149,1.590032696723938,-4.1974005699157715,1.329095721244812,-4.2595624923706055,-2.580024003982544,-7.446305751800537,-0.9680266380310059,-1.0619577169418335,1.5271846055984497,Synth-pop
Synth-pop.00003.wav,655740,0.4332768,0.069851555,0.27445295,0.0016300628,2615.0820369803587,188088.90318592542,2550.9240662500033,58269.48442218359,619.9918823242188,295.14666748046875,137.555419921875,78.34935760498047,66.01304626464844,58.57992935180664,44.33900451660156,51.29444122314453,42.58057403564453,37.451229095458984,37.29786682128906,28.791748046875,42.33672332763672,36.58442687988281,28.66248321533203,30.028902053833008,27.39539337158203,23.336090087890625,36.31743240356445,26.216876983642578,83.01651000976562,-12.140915870666504,23.27743911743164,-2.6687519550323486,10.590269088745117,1.21065354347229,6.872237205505371,2.3574185371398926,1.9963592290878296,-5.989829063415527,3.080686569213867,-3.4303290843963623,4.942204475402832,-2.692657709121704,2.8128108978271484,-1.6270568370819092,3.604356527328491,-4.334167957305908,3.1760060787200928,Synth-pop
Synth-pop.00004.wav,661248,0.34593657,0.0868242,0.13888946,0.0019486642,2562.8941175261707,284694.3228101674,2479.578828671031,74382.72628887765,1917.3583984375,417.7049560546875,300.6190185546875,101.26976776123047,139.22119140625,87.88617706298828,75.9000015258789,56.881492614746094,66.15888214111328,83.35112762451172,57.497283935546875,55.980655670166016,83.13545989990234,70.6275634765625,48.539302825927734,63.62274932861328,59.71403884887695,56.16463088989258,69.15958404541016,60.759071350097656,81.00839233398438,-18.240371704101562,21.271408081054688,7.072312355041504,13.321141242980957,-6.420321941375732,7.983789920806885,-7.3556318283081055,5.058705806732178,-6.421458721160889,2.670632839202881,-3.6763246059417725,6.307872772216797,-4.293354034423828,-1.6704477071762085,-6.0441789627075195,2.1915032863616943,-4.319578647613525,0.9860982298851013,Synth-pop
Synth-pop.00005.wav,661248,0.33406082,0.08618092,0.19670033,0.0010343529,2143.0995159937506,267236.7147169695,2439.2997135164405,124179.38984846356,1277.7886962890625,592.7139282226562,280.3006896972656,224.79232788085938,129.72390747070312,178.79490661621094,88.82696533203125,97.10221099853516,94.64593505859375,51.60418701171875,55.931983947753906,83.25151062011719,51.34468078613281,84.02806091308594,58.60055923461914,42.82284164428711,71.02596282958984,84.50506591796875,89.01717376708984,99.16038513183594,98.19102478027344,2.7025415897369385,29.544401168823242,6.743795871734619,-2.795670509338379,-9.900032043457031,0.44864922761917114,-8.190889358520508,-4.850996971130371,-7.877180099487305,-4.06387186050415,-2.199606418609619,-4.0302815437316895,-6.098034858703613,-3.266469717025757,-9.060614585876465,4.142301559448242,-1.9702050685882568,6.859071254730225,Synth-pop
Synth-pop_counter.txt,661248,0.33406082,0.08618092,0.19670033,0.0010343529,2143.0995159937506,267236.7147169695,2439.2997135164405,124179.38984846356,1277.7886962890625,592.7139282226562,280.3006896972656,224.79232788085938,129.72390747070312,178.79490661621094,88.82696533203125,97.10221099853516,94.64593505859375,51.60418701171875,55.931983947753906,83.25151062011719,51.34468078613281,84.02806091308594,58.60055923461914,42.82284164428711,71.02596282958984,84.50506591796875,89.01717376708984,99.16038513183594,98.19102478027344,2.7025415897369385,29.544401168823242,6.743795871734619,-2.795670509338379,-9.900032043457031,0.44864922761917114,-8.190889358520508,-4.850996971130371,-7.877180099487305,-4.06387186050415,-2.199606418609619,-4.0302815437316895,-6.098034858703613,-3.266469717025757,-9.060614585876465,4.142301559448242,-1.9702050685882568,6.859071254730225,Synth-pop
Synthwave.00001.wav,1323096,0.48101768,0.074607976,0.4031369,0.008626218,1870.837142512685,688870.879753261,2262.4814633314845,451647.96408105554,6150.6171875,1997.3795166015625,345.1458435058594,136.9195556640625,108.67893981933594,51.58427047729492,35.612640380859375,33.6767692565918,25.075271606445312,18.444873809814453,20.98062515258789,19.342859268188477,15.817601203918457,21.192289352416992,19.592323303222656,21.146957397460938,19.29868507385254,14.98609447479248,16.656635284423828,19.014183044433594,113.85822296142578,7.542986869812012,35.669029235839844,5.7741289138793945,19.039358139038086,2.8294053077697754,8.81412410736084,2.3010408878326416,6.256631374359131,2.1406078338623047,4.897920608520508,0.844612181186676,4.349343776702881,-0.24716083705425262,2.459381341934204,-1.2047882080078125,3.07955002784729,-0.31280386447906494,3.845862627029419,Synthwave
